time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2023-12-18 03:43:12.159 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,143055679488,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1702870991845, , , , ,3145728,1218, , , ,4,4,11,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,1,4,38993920,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 03:47:32.164 UTC, ,125,3163845,1184,17992, , ,4, ,44,4,0.09, , , , , , , ,4,4, ,7, ,2,2,6, ,35,9, , , , , , , , , , , , , ,2924,2,1885,1885,1,1,3,7,2972,143055654912,38,38, , , , , ,1,29, , , , , , , , , , , , , , , , , , , , , , , , , ,2972, ,1702871251779, , , , ,3145728,2924, , ,17,7,1,8,1,4,1, , ,3,2, , , ,17, ,2048,1, , , , ,104854,30,1156,1, , , , , , ,1,5,38884864,-1, , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 03:48:55.952 UTC, ,125,3164093,1184,18160,80, ,4,1,129,4,0.03, , , , , , , ,4,4, ,49,1,2,2,6, ,80,11, , , , , , , , , , , , , ,7722,3,6161,6161,1, ,2,4,7770,143055650816,20,20, , , , , ,1,89, , , , , , , , , , , , , , , , , , , , , , , , , ,7770, ,1702871335556, , , , ,3145728,7722, , ,22,3,1,3,1,5,1, , ,3,2, , , ,22,1,2048,1, , , , ,113178,35,1679,1, , , , , , ,1,4,39933440,-1, , , , , , ,78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 05:46:39.375 UTC, ,125,3165733,1184,19768,112, ,4,1,59,4,0.07, , , , , , , ,4,4, ,14,1,2,2,6, ,48,12, , , , , , , , , , , , , ,10853,4,8740,8740,1, ,3,6,10901,143055646720,-1,-1, , , , , ,2,109, , , , , , , , , , , , , , , , , , , , , , , , , ,10901, ,1702878398712, , , , ,3145728,10853, , ,23,6,1,10,1,5,1, , ,3,2, , , ,23,1,2048,1, , , , ,129680,39,2231,1, , , , , , ,1,6,37858304,-1, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 05:47:02.576 UTC, ,125,3165837,1184,19984, , ,4,1,42,4,0.10, , , , , , , ,4,4, ,6,1,2,2,6, ,41,12, , , , , , , , , , , , , ,12025,5,11271,11271,1,2, ,2,12073,143055642624,19,19, , , , , ,2,123, , , , , , , , , , , , , , , , , , , , , , , , , ,12073, ,1702878422211, , , , ,3145728,12025, , ,23,1,1,2,1,4,1, , ,3,2, , , ,23, ,2048,1, , , , ,127686,38,872,1, , , , , , ,1,5,38906880,-1, , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 05:47:27.434 UTC, ,125,3163293,1184,17440, , ,4,3,48,4,0.08,7, , , , , ,1,4,4, ,9,2,2,2,6, ,46,13, , , , , , , , , , , , , ,13847,6,12668,12668,1,1,2,5,13895,143055638528,16,16, , , , , ,2,138, , , , , , , , , , , , , , , , , , , , , , , , , ,13895, ,1702878446906, , , , ,3145728,13847, , ,25,196,1,211,1,4,1, , ,3,2, , , ,25, ,2048,1, , , , ,129805,40,1297,1, , , , , , ,1,5,39937536,-1, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 05:48:27.441 UTC, ,125,3164197,1184,18232,112, ,4, ,56, , , , , , , , , ,4,4, , ,1,2,2,6, ,11,1, , , , , , , , , , , , , ,13847,6,12668,12668, , , , ,13895,143055638528,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13895, ,1702878446906, , , , ,3145728,18020, , ,2,3, ,5, ,3,34, , ,3,2, , , ,2,1, , , , , , ,8230,5,4152,34, , , , , , ,1,6,24421632,-1, , , , , , ,288,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,34, ,30, ,203, , , , , , , , , 
2023-12-18 05:49:35.964 UTC, ,125,3166317,1184,20464, , ,4,2,193,4,0.02, , , , , , , ,4,4, ,80,2,2,2,6, ,121,14, , , , , , , , , , , , , ,23096,7,19187,19187,1,1,1,3,23145,143055630336,13,13, , , , , ,3,226, , , , , , , , , , , , , , , , , , , , , , , , , ,23145, ,1702878575532, , , , ,3145728,23096, , ,26,4,1,4,1,4,1, , ,3,2, , , ,26, ,2048,1, , , , ,146289,43,4028,1, , , , , , ,1,6,39955456,-1, , , , , , ,110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 05:57:20.799 UTC, ,125,3160445,1184,14512,80, ,3,2,29,3,0.10, , , , , , , ,3,3, ,2,2,2,1,5, ,36,15, , , , , , , , , , , , , ,23096,7, ,19187, , , , ,23145,143055622144,13,13, , , , , ,3,234, , , , , , , , , , , , , , , , , , , , , , , , , ,23145, ,1702879040476, , , , ,3145728,23096, , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,138177,40, , , , , , , , ,1,5,40046592,-1, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-18 05:57:53.628 UTC, ,125,3168693,1184,22840, , ,4,2,50,4,0.08, , , , , , , ,4,4, ,9,2,2,2,6, ,52,15, , , , , , , , , , , , , ,24947,8,23824,23824,1,1,2,5,24996,143055618048,12,12, , , , , ,3,241, , , , , , , , , , , , , , , , , , , , , , , , , ,24996, ,1702879073295, , , , ,3145728,24947, , ,27, ,1, ,1,4,1, , ,3,2, , , ,27, ,2048,1, , , ,1,149745,45,1242,1, , , , , , ,1,4,38888960,-1, , , , , , ,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
